team_name,starts,avg_position,std_position,avg_best_lap,avg_gap_to_winner,dnf_rate,cluster
AIX Racing,18,22.066666666666666,7.085867893880312,104.1165625,870.3330588235294,0.16666666666666666,0
ART Grand Prix,59,13.392857142857142,6.832219315802207,101.00113559322034,1568.1425084745763,0.05084745762711865,1
Campos Racing,59,18.192307692307693,7.561612188142238,100.44105084745763,1594.2777288135594,0.11864406779661017,1
Carlin,15,22.818181818181817,4.468068527186704,103.30053333333333,2132.7907333333333,0.26666666666666666,2
Carlin Buzz Racing,18,20.0,7.201190377787748,95.17505555555556,1536.2331111111112,0.16666666666666666,1
Charouz Racing System,27,21.0,5.543218625245871,97.93304166666667,1607.070153846154,0.14814814814814814,1
HWA RACELAB,27,18.541666666666668,7.336502938206925,97.2746923076923,1500.4877692307693,0.1111111111111111,1
Hitech Grand Prix,36,15.193548387096774,7.1012644641111144,99.44065714285715,1658.5768,0.1388888888888889,1
Hitech Pulse-Eight,15,13.5,7.802859436425558,102.47171428571428,1325.8536428571429,0.06666666666666667,0
Jenzer Motorsport,50,20.47826086956522,5.659757083263018,100.05797959183674,1679.1476938775509,0.08,1
MP Motorsport,60,15.245283018867925,7.3743465430904935,100.21067857142857,1424.2930999999999,0.11666666666666667,1
PREMA Racing,51,11.170212765957446,6.601446313650319,100.93633333333332,1570.959431372549,0.0784313725490196,1
Rodin Motorsport,17,19.3125,7.189981455701631,104.28937499999999,1123.9544375,0.058823529411764705,0
Trident,51,12.673913043478262,8.302755493947208,99.75008,1568.6383600000001,0.09803921568627451,1
Van Amersfoort Racing,33,18.74074074074074,7.025188705883733,103.96730000000001,1531.72475,0.18181818181818182,0
